R1_PINH,79.10,22.05,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PINH1,65.56,12.65,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,27.77,108.40,90.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,152.57,44.64,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,92.22,47.68,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,88.65,45.00,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,47.67,24.54,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,31.77,36.40,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,11.86,99.61,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,152.76,46.14,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,147.46,49.45,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,91.84,22.14,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,149.54,5.16,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,90.04,22.18,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,128.74,37.70,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.86,25.84,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,24.13,108.83,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,67.78,108.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,75.68,25.86,90.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,59.68,108.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,84.42,22.12,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.51,108.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,152.01,10.21,90.00,BME688,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,65.51,10.44,0.00,,SJ
TP1,165.36,2.74,0.00,TPTP20R,TP20R
TP10,87.67,103.76,0.00,TPTP20R,TP20R
TP11,131.54,60.14,0.00,TPTP20R,TP20R
TP12,81.62,103.76,0.00,TPTP20R,TP20R
TP13,75.27,103.76,0.00,TPTP20R,TP20R
TP14,4.32,3.26,0.00,TPTP20R,TP20R
TP15,145.79,63.44,0.00,TPTP20R,TP20R
TP16,145.74,60.04,0.00,TPTP20R,TP20R
TP17,136.39,60.04,0.00,TPTP20R,TP20R
TP2,9.28,3.24,0.00,TPTP20R,TP20R
TP3,141.10,59.94,0.00,TPTP20R,TP20R
